epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5034,1.58535,3.75574,1.29034,0.54232,0.29142,0.24812,0.18034,1.10079,2.05983,1.10992,0.0033189,0.0033189,0.0033189
2,48.1168,1.21625,1.91088,1.05351,0.46219,0.07204,0.05741,0.03845,1.59962,3.44792,1.43521,0.00661931,0.00661931,0.00661931
3,69.1603,1.35108,1.89987,1.10432,0.4085,0.26205,0.20629,0.13517,1.46358,2.53371,1.30751,0.00988671,0.00988671,0.00988671
4,89.8938,1.49476,1.98307,1.18695,0.58481,0.29181,0.27867,0.18469,1.41985,2.21218,1.35508,0.0098515,0.0098515,0.0098515
5,110.827,1.44099,1.87908,1.17701,0.46903,0.07563,0.06098,0.0355,2.65974,3.95638,1.94573,0.009802,0.009802,0.009802
6,131.628,1.36797,1.73665,1.14337,0.71444,0.34222,0.36572,0.25942,1.24474,1.67167,1.21414,0.0097525,0.0097525,0.0097525
7,152.38,1.35386,1.73218,1.13645,0.49492,0.33123,0.31486,0.22416,1.2834,1.85822,1.23384,0.009703,0.009703,0.009703
8,173.139,1.31335,1.64209,1.11709,0.35531,0.3876,0.32086,0.23472,1.33274,2.00537,1.22968,0.0096535,0.0096535,0.0096535
9,193.935,1.2553,1.59956,1.08883,0.29722,0.41923,0.33781,0.24723,1.13283,1.63544,1.13614,0.009604,0.009604,0.009604
10,214.79,1.25224,1.46841,1.09407,0.56194,0.38612,0.37835,0.26957,1.19154,1.64041,1.17071,0.0095545,0.0095545,0.0095545
11,235.566,1.21846,1.43619,1.08827,0.61721,0.46397,0.4603,0.35564,1.01882,1.26851,1.09533,0.009505,0.009505,0.009505
12,256.3,1.19261,1.44462,1.06848,0.59885,0.53236,0.52223,0.37384,1.01357,1.21817,1.08875,0.0094555,0.0094555,0.0094555
13,277.115,1.16222,1.38039,1.05908,0.52998,0.43991,0.40057,0.29986,1.08036,1.44159,1.14375,0.009406,0.009406,0.009406
14,297.918,1.15614,1.35458,1.05185,0.62082,0.36702,0.42576,0.31017,1.03953,1.44141,1.09417,0.0093565,0.0093565,0.0093565
15,318.712,1.14091,1.31909,1.0501,0.5884,0.57723,0.49129,0.36962,0.99186,1.22958,1.08948,0.009307,0.009307,0.009307
16,339.485,1.10359,1.27196,1.02273,0.7518,0.48411,0.49232,0.38568,0.97203,1.16973,1.08416,0.0092575,0.0092575,0.0092575
17,360.225,1.07075,1.22052,1.01895,0.77028,0.50112,0.53956,0.41255,0.92363,1.04659,1.02752,0.009208,0.009208,0.009208
18,381.072,1.08033,1.22209,1.02576,0.73263,0.46711,0.53526,0.41913,0.9211,1.11282,1.04622,0.0091585,0.0091585,0.0091585
19,401.892,1.07145,1.19397,1.02837,0.65527,0.45689,0.48674,0.38196,0.96873,1.20131,1.06343,0.009109,0.009109,0.009109
20,422.684,1.04745,1.16347,1.01013,0.67706,0.53435,0.59699,0.47762,0.93993,1.09595,1.05571,0.0090595,0.0090595,0.0090595
21,443.429,1.04089,1.15491,1.00955,0.66069,0.50544,0.55966,0.43292,0.90162,1.00105,1.02908,0.00901,0.00901,0.00901
22,464.153,1.03885,1.15558,1.0105,0.69471,0.50415,0.51121,0.39695,0.91987,1.08042,1.04527,0.0089605,0.0089605,0.0089605
23,484.909,1.01492,1.12074,0.99896,0.65823,0.53781,0.55673,0.42799,0.91604,0.98951,1.03784,0.008911,0.008911,0.008911
24,505.631,1.02457,1.13407,0.99984,0.57283,0.74915,0.66121,0.52073,0.8863,0.94614,1.04138,0.0088615,0.0088615,0.0088615
25,526.444,0.99303,1.08383,0.99685,0.6819,0.54243,0.61309,0.47819,0.87923,0.99212,1.01384,0.008812,0.008812,0.008812
26,547.164,1.02003,1.11146,0.998,0.77001,0.49817,0.57807,0.45919,0.85115,0.92952,1.00975,0.0087625,0.0087625,0.0087625
27,567.94,0.97504,1.05615,0.99094,0.60308,0.65762,0.62193,0.48281,0.91094,1.02527,1.05087,0.008713,0.008713,0.008713
28,588.669,0.98842,1.08974,0.99215,0.77065,0.5558,0.68969,0.54248,0.8289,0.91769,1.00115,0.0086635,0.0086635,0.0086635
29,609.432,0.97642,1.10309,0.98844,0.67673,0.67931,0.68607,0.55176,0.84538,0.96229,1.01838,0.008614,0.008614,0.008614
30,630.234,0.97745,1.03487,0.99,0.7236,0.59433,0.64785,0.51021,0.81046,0.87542,0.99478,0.0085645,0.0085645,0.0085645
31,650.989,0.94631,0.99647,0.96942,0.69536,0.63572,0.65845,0.52773,0.83209,0.87148,1.01198,0.008515,0.008515,0.008515
32,671.724,0.94776,1.00702,0.97527,0.66759,0.6227,0.66845,0.52405,0.84394,0.89364,1.01632,0.0084655,0.0084655,0.0084655
33,692.466,0.95609,1.0198,0.9825,0.74646,0.64127,0.68095,0.55178,0.82216,0.94918,0.99377,0.008416,0.008416,0.008416
34,713.227,0.95501,1.03668,0.97384,0.57292,0.67855,0.61879,0.48306,0.85615,0.93574,1.03274,0.0083665,0.0083665,0.0083665
35,733.976,0.91737,0.9767,0.96818,0.75804,0.61998,0.64455,0.50843,0.84553,0.94223,1.01374,0.008317,0.008317,0.008317
36,754.728,0.93107,1.00395,0.97157,0.68719,0.63064,0.64269,0.51714,0.79079,0.86265,0.98906,0.0082675,0.0082675,0.0082675
37,775.535,0.90053,0.94885,0.95475,0.62907,0.69224,0.661,0.53262,0.81917,0.84243,0.99389,0.008218,0.008218,0.008218
38,796.33,0.92268,0.97423,0.96755,0.66774,0.64649,0.60518,0.48968,0.81822,0.89885,1.00517,0.0081685,0.0081685,0.0081685
39,817.166,0.90135,0.95097,0.96106,0.70414,0.62225,0.59629,0.46269,0.83798,0.94553,1.02125,0.008119,0.008119,0.008119
40,837.885,0.88698,0.93312,0.95507,0.66261,0.66537,0.62921,0.51071,0.78056,0.8535,0.98086,0.0080695,0.0080695,0.0080695
